intent,question,answer
Problemas/Duvidas de atualizacao de dados cadastrais,Boa noite não consigo fazer meu cadastro quando chega na hora de tirar a goto do verso do meu documento Foto Nao bate,"Bom dia,  Temos vídeos que ajudam os clientes a fazerem as inscrições.  Com aparelhos de celulares com o novo sistema NFC e para aparelhos que não possuem o sistema NFC. - Com o sistema NFC: https://www.youtube.com/watch?v=U_jAVo2qYt4 - Sem o sistema NFC: https://www.youtube.com/watch?v=tc8yeWvQdlw&t=143s Qualquer dúvida estamos à disposição. Obrigado."
Confirmacao de cambio/taxas,"Fiz um deposito de ¥5,000 Qual o valor em reais ?  Obrigada","Bom dia R$ 134,00 "
Confirmacao de cambio/taxas,"Ola bom dia 320,00 sao quantos yenes hoje","Hoje, para 320 reais = ¥10,668 ja com o valor da taxa de remessa incluido."
Como se inscrever,Como enviar dinheiro do Japão?,"Boa tarde. Sera necessario efetuar a inscricao pelo app Brastel Remit. Para se inscrever no serviço de remessa, por favor, baixe o aplicativo Brastel Remit e registre todos os dados solicitados. Assim vamos validar sua inscrição e você já poderá registrar os seus beneficiários. Com o app Brastel Remit você tera independência para fazer a remessa por conta propria e a qualquer horario https://brastelremit.jp/por/24h "
Tempo de remessa,Quanto tempo levará para o beneficiário receber o dinheiro?,"Normalmente, demora de 1 a 3 dias. Porem, quando possivel, sera feito o pagamento via PIX."
Confirmacao de cambio/taxas,Boa tarde 500 reais na cotação de hoje quando seria em yen por favor,"Boa tarde Para ser enviado BRL 500, deve ser depositado ¥16,171, já com a taxa de remessa inclusa"
Problemas/Duvidas de atualizacao de dados cadastrais,Boa tarde Estou desde ontem tentando fazer o cadastro com vcs Porém não estou conseguindo. Quando chega no momento da foto aparece uma observação e não segue,"Bom dia,  Temos vídeos que ajudam os clientes a fazerem as inscrições.  Com aparelhos de celulares com o novo sistema NFC e para aparelhos que não possuem o sistema NFC. - Com o sistema NFC: https://www.youtube.com/watch?v=U_jAVo2qYt4 - Sem o sistema NFC: https://www.youtube.com/watch?v=tc8yeWvQdlw&t=143s Qualquer dúvida estamos à disposição. Obrigado."
Como se inscrever,Como enviar dinheiro do Japão?,"Para se inscrever no serviço de remessa, por favor, baixe o aplicativo Brastel Remit e registre todos os dados solicitados. Assim vamos validar sua inscrição e você já poderá registrar os seus beneficiários. Com o app Brastel Remit você tera independência para fazer a remessa por conta propria e a qualquer horario https://brastelremit.jp/por/24h  "
Como se inscrever,Como. Eu. Faço. Pra. Casdrra. No. Aplicativo para smartphones do servico de remessas?,"Para se inscrever no serviço de remessa, por favor, baixe o aplicativo Brastel Remit e registre todos os dados solicitados. Assim vamos validar sua inscrição e você já poderá registrar os seus beneficiários. Com o app Brastel Remit você tera independência para fazer a remessa por conta propria e a qualquer horario https://brastelremit.jp/por/24h  "
Cadastro de beneficiario,Como faso pra corrigor este erro,"lantão Especial  Bom dia No seu app Barstel Remit, click em Menu >> Beneficiarios >> Escolha o beneficiario (click) >> EDITAR >>Faca as correcoes/atualizacoes e click em Proximo (se nao aparecer esse botao, click levente em qualquer lugar da sua tela e o botao ira aparecer) >> Va clicando no proximo ate apararecer SALVAR.  Qualquer dúvida estamos à disposição.  Obrigado"
Confirmacao de cambio/taxas,Bom dia 25mil da que valor hoje ?? Se manda,"Plantão Especial  Bom dia ¥25,000--->R$792.78 com taxa inclusa. Lembrando que a cotacao pode mudar as 10:40 am Qualquer dúvida estamos à disposição.  Obrigado"
Tempo de entrega do cartao,Olá quando vou receber a segunda via do cartão verde do yucho?,"Foi requisitado um novo YUCHO card ao senhor, que deve chegar dentro de 3 a 4 dias úteis, a partir de segunda-feira. Qualquer dúvida estamos à disposição. Obrigado."
Confirmacao de cambio/taxas,Boa tarde fiz um depósito de 23mil transferir pra Priscilla Silva Nunes Itaú conta corrente Por favor E qual valorais vai depositar Por favor,Boa tarde! Vai chegar R$727 ok? incluindo as taxas de remessa na cotação de hoje
Como se inscrever,Como enviar dinheiro do Japão?,"Para se inscrever no serviço de remessa, por favor, baixe o aplicativo Brastel Remit e registre todos os dados solicitados. Assim vamos validar sua inscrição e você já poderá registrar os seus beneficiários. Com o app Brastel Remit você tera independência para fazer a remessa por conta propria e a qualquer horario https://brastelremit.jp/por/24h  "
Como se inscrever,Como enviar dinheiro do Japão?,"Para se inscrever no serviço de remessa, por favor, baixe o aplicativo Brastel Remit e registre todos os dados solicitados. Assim vamos validar sua inscrição e você já poderá registrar os seus beneficiários. Com o app Brastel Remit você tera independência para fazer a remessa por conta propria e a qualquer horario https://brastelremit.jp/por/24h  "
Tempo de remessa,Quanto tempo levará para o beneficiário receber o dinheiro?,"Via de regra, as remessas serão pagas via PIX dentro de algumas horas, se todos os dados estiverem corretos."
Como se inscrever,Como fazer o cadastro,"Para se inscrever no serviço de remessa, por favor, baixe o aplicativo Brastel Remit e registre todos os dados solicitados. Assim vamos validar sua inscrição e você já poderá registrar os seus beneficiários. Com o app Brastel Remit você tera independência para fazer a remessa por conta propria e a qualquer horario https://brastelremit.jp/por/24h "
Como se inscrever,Como posso me inscrever no serviço de remessa?,"Para se inscrever no serviço de remessa, por favor, baixe o aplicativo Brastel Remit e registre todos os dados solicitados. Assim vamos validar sua inscrição e você já poderá registrar os seus beneficiários. Com o app Brastel Remit você tera independência para fazer a remessa por conta propria e a qualquer horario https://brastelremit.jp/por/24h  "
Como se inscrever,Como posso me inscrever no serviço de remessa?,"Para se inscrever no serviço de remessa, por favor, baixe o aplicativo Brastel Remit e registre todos os dados solicitados. Assim vamos validar sua inscrição e você já poderá registrar os seus beneficiários. Com o app Brastel Remit você tera independência para fazer a remessa por conta propria e a qualquer horario https://brastelremit.jp/por/24h  "
Como se inscrever,Como posso me inscrever no serviço de remessa?,"Para se inscrever no serviço de remessa, por favor, baixe o aplicativo Brastel Remit e registre todos os dados solicitados. Assim vamos validar sua inscrição e você já poderá registrar os seus beneficiários. Com o app Brastel Remit você tera independência para fazer a remessa por conta propria e a qualquer horario https://brastelremit.jp/por/24h  "
Como se inscrever,Como posso me inscrever no serviço de remessa?,"Para se inscrever no serviço de remessa, por favor, baixe o aplicativo Brastel Remit e registre todos os dados solicitados. Assim vamos validar sua inscrição e você já poderá registrar os seus beneficiários. Com o app Brastel Remit você tera independência para fazer a remessa por conta propria e a qualquer horario https://brastelremit.jp/por/24h  "
Como se inscrever,Como. Faço. Pra. Fazer. O. Cadastro?,Bom dia!  A inscrição deve ser feita através do aplicativo Brastel Remit.  https://brastelremit.jp/24h/#/por/  Qualquer dúvida estamos à disposição. Obrigado.
Cadastro de beneficiario,"Boa noite,estou precisando fazer um novo cartao para outro beneficiario ,como faco",erro ao processar a pergunta
Tempo de entrega do cartao,"Bom dia ,quanto tempo leva para chegar o cartão?",Bom dia  Após o cadastro ficar ativo demora o prazo de 3 á 4 dias úteis Qualquer dúvida estamos à disposição.
Problemas/Duvidas de atualizacao de dados cadastrais,"Bom dia ,gostaria de saber como fazer a mudança de endereço pelo app ?","Olá, bom dia  Basta ir em:  Menu > Minha conta > Perfil > e quando aparecer o seu endereço voce clica em "" editar "" Vai pedir a foto frente e verso do zairyu com o endereço atualizado Qualquer dúvida estamos à disposição."
Confirmacao de cambio/taxas,"Vcs estão cobrando só de para enviar dinheiro para o Brasil 880 yenes. Está muito caro, vou procurar outra agência",Essas são as taxas de envio para o Brasil:  Remessas até ¥30.000 taxa ¥880 De ¥30.001~¥300.000 taxa ¥1.480 De ¥300.001~¥800.000 taxa ¥1.680 Qualquer dúvida estamos à disposição.
Problemas/Duvidas sobre deposito,Tem como mandar dinheiro sem o cartão do correio?,"Bom dia,  Você poderá colocar o valor da remessa no saldo do seu aplicativo por meio do cartão de depósito ou então com seu cartão do banco, ambos passo a passo estão no app.  1. Clicar nas 3 linhas no canto esquerdo do App da Brastel 2. Instruções de depósito 3. Cartão Yucho (cartão da Brastel) ou transferencia bancária (conta no correio) 4. Selecionar o ATM 5. Seguir o passo a passo, exatamente como está no App.  Qualquer dúvida estamos à disposição. Obrigado."
Problemas/Duvidas de atualizacao de dados cadastrais,Boa noite preciso alterar o meu endereço no app,"Bom dia  Basta ir em:  Menu > Minha conta > Perfil > e clicar em "" editar "" embaixo do seu endereço Qualquer dúvida estamos à disposição."
Problemas/Duvidas sobre remessas,Bom dia Poderia me passa o passo a passo para fazer a remessa,"Siga o passo a passo para enviar dinheiro pelo app:  1-Ao fazer o deposito com o cartão que a brastel enviou ou com o cartão do seu banco (transferencia) o valor entra no saldo do aplicativo da brastel remit 2- Verifique na tela inicial ""Meu saldo"". 3- Registre no seu aplicativo para quem deseja enviar: Clicar nas 3 linhas no canto esquerdo do App da Brastel > beneficiario > adicionar beneficiario. 4- Na tela inicial aparecerá o nome do beneficiário: Ex: João -------- *Enviar dinheiro*( Clicar em cima do enviar dinheiro ao lado do nome do beneficiário). 5- Aparece a bandeira do japão e ao lado digite o valor que deseja enviar e logo abaixo na bandeira aparece o valor em reais que a beneficiária irá receber. 6- Abaixo coloque a fonte de recurso. 7- Motivo da remessa E clica em próximo para prosseguir. Qualquer dúvida estamos à disposição. Obrigado."
Confirmacao de cambio/taxas,"Bom dia! Realizei um depósito na Brastel no valor de 87.188¥. Gostaria de saber qual o vlr que a beneficiária irá receber, por favor?","Bom dia,  A beneficiária irá receber 2,815.61 Qualquer dúvida estamos à disposição. Obrigado."
Confirmacao de cambio/taxas,Bom dia Efetuei transferência 76000 Favor informar valor da transação Obrigado,"Bom dia!  O valor a receber é de 2.448,07 (reais) Qualquer dúvida estamos à disposição. Obrigado."
Como se inscrever,Quero. Fazer. A. Escricao. E. Fazer. Uma. Remessa. Pro. Brasil,Bom dia!  A inscrição deve ser feita através do aplicativo Brastel Remit.  https://brastelremit.jp/24h/#/por/  Qualquer dúvida estamos à disposição. Obrigado.
Solicitacao de cartao de remessas,Eu. Não. Tenho. O. Cartão. Se. Remessa. Do. Familha. Mart,"Boa tarde!  Após a inscrição ser aprovada, você receberá um cartão de depósito num prazo de 3 a 4 dias uteis.  Você poderá colocar o valor da remessa no saldo do seu aplicativo por meio desse cartão de depósito ou então com seu cartão do banco, ambos passo a passo estão no app.  Para registrar o beneficiário é possível enviar um formulário para que o próprio se registre ou você mesmo o registre.  Dessa forma, com o valor no saldo e os beneficiários registrados, já é possível enviar as remessas.  As remessas no Brasil estão enviando pagamentos via PIX e chegam no mesmo dia para o beneficiário."
Problemas/Duvidas de atualizacao de dados cadastrais,Obrigado como faço correção cadastro ?,MENU >> Beneficiarios >> click no nome do beneficiario >> EDITAR >> Efetueu a correcao >> Proximo >> Proximo >> Salvar. Qualquer dúvida estamos à disposição. Obrigado.
Confirmacao de cambio/taxas,Boa tarde Hoje quanto seria 810 reais para o Brasil,"Boa tarde 810 reais da o valor de 25,538 yenes (incluindo a taxa de remessa) Qualquer dúvida estamos à disposição."
Confirmacao de cambio/taxas,Boa tarde poderia passar os valores das remessas com taxa  3.370,"Hoje,  3.370 = ¥104,066 Ja com o valor da taxa de remessa incluido."
Confirmacao de cambio/taxas,Boa tarde hoje 400 reais daria quando ynes?,"Boa tarde,  ¥13,057 incluindo a taxa de remessa."
Confirmacao de cambio/taxas,Boa tarde gostaria de saber quanto chega y17.000 já incluindo a taxa quanto chega em real? Obrigada,"Boa tarde!  17 mil ienes : R$525 incluindo as taxas de remessa e depósito, na cotação de hoje"
Cadastro de beneficiario,Boa tarde me tira uma duvida tem como excluir uma conta do aplicativo da Brastel ?,Boa tarde! Para editar/excluir beneficiários:  Menu -> Beneficiários -> Clicar no beneficiário que será alterado -> Editar Qualquer dúvida estamos à disposição. Obrigado.
Problemas/Duvidas de atualizacao de dados cadastrais,Como tirar foto do meu Zai card?,"Boa tarde!  Quando o aplicativo pedir, vai abrir um espaço no qual o Zairyu card precisa estar enquadrado para que seja validado. Qualquer dúvida estamos à disposição. Obrigado."
Confirmacao de cambio/taxas,"Boa tardw Tarde Quanto valor rs 7500 e.7,300 Quanto yen Hoje",Boa tarde! Gostaria de saber o valor dessa quantia em ienes?  R$7500 : 229.783 ienes R$7300 : 223.695 ienes  Na cotação de hoje
Confirmacao de cambio/taxas,Boa tarde 500 reais na cotação de hoje quando seria em yen por favor,"Para ser entregue BRL 500, deve ser depositado ¥16,101, já com a taxa de remessa inclusa"
Tempo de entrega do cartao,Olá meu cartão laranja eu não recebi ainda!!,"A sra. efetuou o pedido hoje. Demora em torno de 4~5 dias uteis para recebe-lo em sua residencia. Por favor, poderia aguardar? Qualquer outra duvida, por favor, entre em contato. Estaremos a disposicao. Uma otima semana."
Confirmacao de cambio/taxas,Olá Boa tarde Quanto que chega no Brasil 800 mil hoje?,"Boa tarde!  Na cotação de hoje, incluindo a taxa de remessa: 800.000 ienes : BRL 26.225 Qualquer dúvida estamos à disposição. Obrigado."
Problemas/Duvidas sobre deposito,Boa noite Sou cliente do serviço de vossa empresa Utilizo o app para efetuar as remessas para minhas contas cadastradas no app Como faço para fazer transferência para conta utilizando minha conta do correio via app,"Boa noite! no próprio aplicativo, no Menu, consta o manual de transferência de conta a conta Menu > Instruções de Depósito > Transferência Bancária > Japan Bank Post > escola o ATM... no passo 14 consta o seu código em vermelho que o cliente deve colocar no  deve colocar como indicado na imagem*"
Problemas/Duvidas de atualizacao de dados cadastrais,Boa noite !como eu faço pra manda a foto do documento pra atualizar meu aplicativo ?,Boa noite! Em seu aplicativo:  Menu -> Minha conta -> Perfil -> Atualizar documento
Confirmacao de cambio/taxas,Olá bom dia Eu quero mandar para o Brasil 1.700 reais Quanto teria que ser em ienes ?,"Bom dia R$1.700,00 ---> ¥52,674 com taxa inclusa.  Lembrando que depois das 10:40 am cotação vai mudar."
Confirmacao de cambio/taxas,"Olá. Bom dia! Eu preciso fazer um depósito para que chegue no brasil um valor de 1300 reais. Qual valor eu preciso depositar, já com as taxas inclusas?","Bom dia,  Sua conversão neste momento ficaria no valor de ¥ ¥40,628 --> R$ 1,300 (valor com a taxa de remessa inclusa)  A depender do horário que fizer, podem haver mudanças na cotação e não garantimos o valor informado. As informações exatas são enviadas por email, ou poderá verificar o seu histórico no website/aplicativo Qualquer dúvida estamos à disposição. Obrigado."
Confirmacao de cambio/taxas,Qt vcs cobram p enviar dinheiro p o Brasil?,Boa tarde Taxa de envio para o Brasil: Remessas até ¥30.000 taxa ¥880 De ¥30.001~¥300.000 taxa ¥1.480 De ¥300.001~¥800.000 taxa ¥1.680 Qualquer dúvida estamos à disposição.  Obrigada
Confirmacao de cambio/taxas,Bom dia 560 reais Tenho depositar quanto correio,"Boa tarde, ¥17,976 incluindo as taxas Qualquer dúvida estamos à disposição. Obrigado."
Confirmacao de cambio/taxas,Boa tarde. Qnto ficaria pra mandar 300 real no aplicativo,"Hoje, para chegar o valor de 300 reais, sera necessario depositar com o cartao, o valor de 10.098 ja com a taxa de remessa e do correio incluidas."
Confirmacao de cambio/taxas,"Boa tarde Poderia me dizer quanto ficaria 1,600 reais em yenes já com as taxas ? Onegai","Boa tarde!  R$ 1600 : ¥49,966 incluindo a taxa de remessa."
Confirmacao de cambio/taxas,Ola 700 reais mudou alguma coisa,"Para chegar BRL 700, deve ser depositado ¥22,093, já com a taxa de remessa inclusa na cotação de hoje"
Confirmacao de cambio/taxas,Olá No caso hoje qual o valor que chega no Brasil 800 mil ienes?,"¥800,000 (incluindo a taxa de remessa) ----> 26,665.42 (reais). Qualquer dúvida estamos à disposição. Obrigado. Boa tarde!"
Cadastro de beneficiario,Qual os documentos por favor,"Boa tarde!  Por favor poderia nos enviar os seguintes dados:  DADOS DO BENEFICIÁRIO  NOME COMPLETO: GRAU DE PARENTESCO: ENDEREÇO NO BRASIL: (Cidade e Estado apenas) CIDADE: ESTADO: TEL.DE CONTATO NO BRASIL: NOME DO BANCO: NÚMERO DA AGÊNCIA: NOME DA AGÊNCIA: (caso não tenha, deixar em branco NúMERO DA CONTA: TIPO DE CONTA(corrente ou poupança): NÚMERO DO CPF:"
Problemas/Duvidas de atualizacao de dados cadastrais,"Boa tarde , estou tentando ler meu cartão zairyu mais o NFC nao funciona como devo proceguir ?","Boa tarde!  Na maioria dos aparelhos o leitor está localizado na parte superior. Por favor, tente inclinar o celular de modo que a parte superior do seu celular fique bem próximo ao seu zairy card, e mantenha a posição por alguns segundos até que carregue a informação. Temos vídeos que ajudam os clientes a fazerem as inscrições.  Com aparelhos de celulares com o novo sistema NFC e para aparelhos que não possuem o sistema NFC. - Com o sistema NFC: https://www.youtube.com/watch?v=U_jAVo2qYt4 - Sem o sistema NFC: https://www.youtube.com/watch?v=tc8yeWvQdlw&t=143s Qualquer dúvida estamos à disposição. Obrigado."
Termos e condicoes do servico,"Boa tarde gostaria de saber se vcs enviam dinheiro para a Índia  aguardo a resposta,obrigado","Boa tarde,  Sim, também enviamos para a Índia.  Por favor, click no link abaixo e poderá verificar quais países estão na nossa lista. https://brastelremit.jp/por/simulator  ---> Click em Tarifas e limites para informações adicionais sobre os países. Qualquer dúvida estamos à disposição. Obrigado."
Confirmacao de cambio/taxas,"Boa tarde Gostaria de saber a cotação pra 30,000¥ sem a taxa, por favor","Boa tarde,  30,000 ienes pagando a taxa a parte: 1,002 reais."
Confirmacao de cambio/taxas,"Vc poderia estar me passando o valor de 20,000¥ em real","Com a cotação de hoje, incluindo as taxas de remessa:  20 mil ienes : R$638"
Cadastro de beneficiario,"Bom dia Eu já tenho cartão brastel pra enviar pra minha filha Eu preciso fazer um pra minha conta Poderia me ajudar, por favor","DADOS DO BENEFICIÁRIO  NOME COMPLETO: GRAU DE PARENTESCO: ENDEREÇO NO BRASIL: (Cidade e Estado apenas) CIDADE: ESTADO: TEL.DE CONTATO NO BRASIL: NOME DO BANCO: NÚMERO DA AGÊNCIA: NOME DA AGÊNCIA: (caso não tenha, deixar em branco NúMERO DA CONTA: TIPO DE CONTA(corrente ou poupança): NÚMERO DO CPF:"
Tempo de entrega do cartao,Obrigada Tem previsão de chegar o cartão?,"Por favor, aguarde que ira receber o seu cartao dentro de 4~5 dias uteis. Qualquer dúvida estamos à disposição. Obrigado. Uma otima tarde."
Confirmacao de cambio/taxas,Boa tarde fiz um depósito de 33.500  Qual valor que vai dar por favor,"Boa tarde. Chegara o valor de 1,069.53 reais. Iremos processar a sua solicitacao. Muito obrigada."
Como se inscrever,Boa tarde Qual o procedimento para enviar valores para o Brasil?,"Para se inscrever no serviço de remessa, por favor, baixe o aplicativo Brastel Remit e registre todos os dados solicitados. Assim vamos validar sua inscrição e você já poderá registrar os seus beneficiários. Com o app Brastel Remit você tera independência para fazer a remessa por conta propria e a qualquer horario https://brastelremit.jp/por/24h  "
Confirmacao de cambio/taxas,Ola O valor transferido foi 30.640 Me confirme por favor o valor e que chegará em reais,"Chegará R$ 1002 desculpe, por favor ignore a mensagem acima chegará R$994"
Confirmacao de cambio/taxas,"Bom Dia! Acabei de fazer um depósito de ¥ 151.480, favor enviar ao Brasil o valor de ¥150.000 Pode me passar o valor em Real que vai. Chegar no Brasil ",5.019 reais
Confirmacao de cambio/taxas,Boa tarde quanto tá hoje pra mandar 1.000 reais ?,"Boa tarde. Hoje, para 1.000 reais = ¥30,820 ja com a taxa de remessa incluida."
Confirmacao de cambio/taxas,130 mil da quantos pra enviar hoje no Brasil?,"Boa tarde!  4,292 reais incluindo a taxa de remessa. Vamos aguardar o seu depósito para processar a remessa. Obrigado."
Solicitacao de cartao de remessas,"Favor enviar cartão laranja , onegaishimasu",Bom dia Para solicitar o cartão laranja no aplicativo:  Menu - > Instruções de depósito -> Saiba mais e solicite Qualquer dúvida estamos à disposição.  Obrigado
Confirmacao de cambio/taxas,50 mil yens da que reAl,"¥50,000 (com a taxa de remessa inclusa) ---> BRL 1,606.11"
Confirmacao de cambio/taxas,Preciso que chega lá mil reais qual valor do depósito?,para: R$1000 : 31.691 ienes incluindo as taxas de remessa.
Confirmacao de cambio/taxas,Oi Boa noite Quanto que chega no Brasil ¥25 mil yenes,"Boa noite Ao depositar ¥25,000, será enviado BRL 798, já com a taxa de remessa inclusa"
Tempo de remessa,Quanto tempo levará para o beneficiário receber o dinheiro?,"A maioria dos pagamentos estão sendo feitos via PIX. Os pagamentos feitos via PIX, geralmente são pagos no mesmo dia do envio da remessa, porém quando o PIX não for possível, o banco vai pagar via TED que nesse caso somente durante o expediente bancário no Brasil."
Confirmacao de cambio/taxas,Oi bom dia no dia de ontem Eu depositei 60.000 ienes para cair na conta do Brasil  E por gentileza me mande o valor,"A beneficiária receberá 1,937.13 Qualquer dúvida estamos à disposição. Obrigado."
Confirmacao de cambio/taxas,Boa tarde Se eu enviar hoje 40 mil yes Quanto que vai chegar no Brasil hoje,"Bom dia A maioria dos pagamentos estão sendo feitos via PIX. Os pagamentos feitos via PIX, geralmente são pagos no mesmo dia do envio da remessa, porém quando o PIX não for possível, o banco vai pagar via TED que nesse caso somente durtante o expediente bancário no Brasil."
Tempo de remessa,Fi uma remessa e gostaria de saber qdo vai cair,erro ao processar a pergunta
Confirmacao de cambio/taxas,Bom dia 100 mil Ienes sem taxa quanto chega no Brasil?,"Bom dia,  ¥100,000 -----> BRL 3,310.19 Qualquer dúvida estamos à disposição. Obrigado."
Confirmacao de cambio/taxas,Por favor vcs vê mil reais Aí depois por favor 700 reais,"Bom dia R$1.00,00 ---> ¥31,691 com taxa inclusa. R$700,00 -->¥22,028 com taxa inclusa"
Confirmacao de cambio/taxas,Bom dia eu gostaria de saber quanto é 450.000pra mandar pro Brasil real desde já agradeço,"Bom dia,  450.000 ---->R$14,840.26 com taxa inclusa."
Confirmacao de cambio/taxas,Bom dia Quanto fica em ienes para mandar para chegar 1300 reais ou 1500 reais por favor fico aguardando,"Bom dia R$1.300,00 ---> ¥40,754 com taxa inclusa.  R$1.500,00 ---->¥46,796 com taxa inclusa. Qualquer dúvida estamos à disposição.  Obrigado"
Problemas/Duvidas de atualizacao de dados cadastrais,Bom dia. Estou entrando em contato pois mudei de endereço. Zayrucard já está atualizado,"Basta ir em:  Menu > Minha conta > Perfil > e clicar em "" editar "" embaixo do seu endereço"
Confirmacao de cambio/taxas,Boa tarde td bm Vc poderia me informar qual a taxa para estar enviando 150 mil yens?,Boa tarde!  Taxa de envio para o Brasil: Remessas até ¥30.000 taxa ¥880 De ¥30.001~¥300.000 taxa ¥1.480 De ¥300.001~¥800.000 taxa ¥1.680
Confirmacao de cambio/taxas,Qto da 1000 reais,"Boa tarde,  Para enviar 1,000 ----> ¥31,691 (com a taxa de remessa inclusa)> Qualquer dúvida estamos à disposição. Obrigado."
Confirmacao de cambio/taxas,"Oi boa tarde tudo bem ? 850,00 sao quantos yenes por favor ?","Boa tarde!  R$ 850,00 : ¥26,559 Incluindo as taxas de remessa na cotação de hoje"
Confirmacao de cambio/taxas,"Bom dia  Por favor poderia fazer o envio de ¥28,000 Qual o valor disponivel em reais ? ","Bom dia, 895 reais Vamos processar. Obrigado."
Cancelamento,"Bom dia , fiz uma remessa por engano , em uma conta que foi cancelada no Brasil . Gostaria de saber quais procedimentos? Obrigado!","Bom dia O pedido de cancelamento foi solicitado.  Por favor,aguarde."
Tempo de remessa,Bom dia quanto tempo demora para chegar uma remessa,"Bom dia,  Em geral as remessas são pagas no mesmo dia, até o final do expediente bancário no Brasil.  Qualquer dúvida estamos à disposição. Obrigado."
Confirmacao de cambio/taxas,Bom dia Eu vou mandar 80.000 yen por favor quando daria em reais?,"Bom dia!  80.000 ienes: 2,595 reais incluindo a taxa de remessa"
Confirmacao de cambio/taxas,Oi boa tarde 500 mil yens tá chegando quanto no Brasil hj?,"Boa tarde. Hoje, para 500.000 = BRL 16,469.68 ja com o valor da taxa de remessa incluido."
Confirmacao de cambio/taxas,Bm dia Boa tarde 30 mil yens da que real,"Boa tarde, 962 reais incluindo a taxa de remessa."
Tempo de entrega do cartao,"Desculpe me , esqueci de perguntar quanto tempo para chegar o cartão de depósito! foi pedido hoje","Sobre o seu pedido, levara em torno de 4~5 dias uteis para receber os cartoes na sua residencia."
Problemas/Duvidas sobre deposito,Boa tarde Gostaria de receber o passo a passo de como inserir dinheiro no cartão laranja da Brastel Pelo kombini,O passo a passo está disponível no app: menu -> instruções de depósito -> cartão brastel remit -> ATM Compacto do Japan Post Bank
Cadastro de beneficiario,Como ela faz para me enviar o link para preencher os dados do destinatário?,Menu -> beneficiários -> adicionar beneficiários -> enviar formulário para o beneficiários
Confirmacao de cambio/taxas,Gostaria de saber quanto e necessário eu mandar para o Brasil em Inés para chegar lá 15000 reais qual a cotação do dólar hoje aqui e a do Brasil por favor,"Boa tarde!  Na cotação de hoje, incluindo as taxas de remessa:  R$15000 : 455534 ienes"
Cadastro de beneficiario,Bom dia ou boa noite gostaria de saber qual o procedimento para enviar dinheiro para Índia ?? por favor,Boa noite O procedimento do envio é o mesmo Basta adicionar o beneficiário com os dados corretos
Problemas/Duvidas sobre remessas,Por favor vocês teriam um tutorial de como mandar dinheiro do app do correio para a conta de vocês para mim poder fazer a remessa para o Brasil ?,Boa noite! No próprio aplicativo é possível encontrar esse tutorial:  Menu -> Instruções de depósito
